# Columns:
# QSO_ID = QSO name
# z_abs = absorber redshift
# N(HI) = HI column density
# sig(N(HI)) = HI column density error
# [M/H] = metallicity
# sig([M/H]) = metallicity error
# log_Z = log of metal abundance by mass
# log_DTG = log of dust-to-gas ratio
# log_DTM = log of dust-to-metal ratio
QSO_ID,z_abs,N(HI),sig(N(HI)),[M/H],sig([M/H]),log_Z,log_DTG,log_DTM
SDSS0759+3129,3.035,20.6,0.1,-1.7,0.38,-3.57,-4.966,-1.396
SDSS0844+5153,2.775,21.45,0.15,-0.523,0.18,-2.423,-2.96,-0.537
SDSS1003+5520,2.502,20.35,0.15,-1.21,0.46,-3.115,-3.525,-0.409
SDSS1042+0117,2.267,20.75,0.15,-0.63,0.23,-2.5,-3.444,-0.943
SDSS1043+6151,2.786,20.6,0.15,-1.55,0.4,-3.42,-4.89,-1.47
SDSS1048+3911,2.296,20.7,0.1,-1.86,0.38,-3.73,-5.2,-1.47
SDSS1116+4118A,2.662,20.48,0.1,-0.313,0.25,-2.219,-2.716,-0.497
SDSS1249−0233,1.781,21.45,0.15,-0.535,0.17,-2.418,-3.068,-0.65
SDSS1251+4120,2.73,21.1,0.1,-1.78,0.44,-3.65,-5.12,-1.47
SDSS1435+0420,1.656,21.25,0.15,-0.73,0.19,-2.6,-4.07,-1.47
SDSS1440+0637,2.518,21.0,0.15,-1.47,0.46,-3.34,-4.81,-1.47
SDSS1557+2320,3.538,20.65,0.1,-1.419,0.44,-3.309,-3.914,-0.605
SDSS1610+4724,2.508,21.15,0.15,0.185,0.18,-1.716,-2.246,-0.531
SDSS1709+3417,2.53,20.45,0.15,-1.2,0.33,-3.07,-4.54,-1.47
SDSS2059−0529,2.21,20.8,0.2,-0.085,0.26,-1.986,-2.516,-0.531
SDSS2100−0641,3.092,21.05,0.15,-0.036,0.18,-1.933,-2.491,-0.559
SDSS2222−0946,2.354,20.5,0.15,-0.05,0.19,-1.942,-2.528,-0.586
SDSSJ1558+4053,2.553,20.3,0.04,-2.04,0.1,-3.91,-5.38,-1.47
SDSSJ1616+4154,0.321,20.6,0.2,-0.048,0.24,-1.935,-2.563,-0.628
SDSSJ1619+3342,0.096,20.55,0.1,-0.191,0.21,-2.103,-2.557,-0.454
UM673A,1.626,20.7,0.1,-1.32,0.2,-3.19,-4.66,-1.47
